gender,age,salary,numberOfMonths,city,numberOfActiveDependants,numberOfJobsChanged,avgDuration,status
M,61,4556.25,126,RasTanorh,0,3,42,1
M,53,14764,314,Dhahran,3,5,62.8,1
F,59,3160,152,Riyadh,0,1,152,1
M,71,16648.33,308,Alahsa,3,1,308,1
M,76,3360,67,Alahsa,0,1,67,1
M,82,18567.5,319,Riyadh,2,3,106.333333333333,1
M,64,26012.5,453,Alahsa,3,4,113.25,1
M,67,49500,316,Dhahran,5,3,105.333333333333,1
M,59,39143.75,440,Dammam,3,2,220,1
M,70,24640,348,Alahsa,1,3,116,1
M,63,300,10,RasTanorh,0,1,10,1
M,60,36312.5,420,Alahsa,3,2,210,1
F,63,3000,124,Jeddeh,0,1,124,1
M,61,1500,104,Taif,0,1,104,1
M,62,31962.5,441,Alahsa,2,2,220.5,1
M,50,7150,301,Jeddeh,0,6,50.1666666666667,1
M,51,35562.5,329,Alahsa,3,3,109.666666666667,1
M,90,4360,321,Alahsa,0,5,64.2,1
M,63,41650,486,Alahsa,3,2,243,1
M,62,24788.66,186,Jeddeh,0,2,93,1
M,77,25535,307,RasTanorh,4,3,102.333333333333,1
M,67,17112.5,426,Alqateef,3,4,106.5,1
M,75,23769,305,Riyadh,3,3,101.666666666667,1
M,64,6375,160,Albahah,0,5,32,1
M,52,17038,348,Tabuk,7,5,69.6,1
M,75,12885.83,372,Khobar,1,7,53.1428571428572,1
M,67,25386.67,380,Alqateef,3,2,190,1
M,73,3125,174,Jeddeh,0,1,174,1
M,74,21053,323,Alqateef,3,3,107.666666666667,1
M,54,8846,304,Madinah Almonwarah,3,4,76,1
M,68,30209,469,Safwa,3,3,156.333333333333,1
M,75,32280,307,Dammam,3,1,307,1
M,59,35906.26,411,Dhahran,3,2,205.5,1
M,62,36312.5,463,Riyadh,5,4,115.75,1
M,72,3090,181,Baqa aa,0,3,60.3333333333333,1
M,61,5250,295,Jazan,3,2,147.5,1
M,70,3450,98,Alqateef,2,5,19.6,1
M,63,45000,441,Riyadh,3,3,147,1
M,67,18290,455,Khobar,3,6,75.8333333333333,1
M,54,12791.93,334,Madinah Almonwarah,1,5,66.8,1
M,69,3510,271,Makkah,0,5,54.2,1
M,63,14514.5,376,Dhahran,3,3,125.333333333333,1
M,47,14900,300,Khobar,3,5,60,1
M,52,18220,303,Yanba a Alsyenayeah,4,5,60.6,1
M,68,5846,248,Khobar,2,8,31,1
M,78,2200,62,Dammam,2,2,31,1
M,89,10500,182,Traif,0,2,91,1
M,63,45000,438,Khobar,3,2,219,1
M,60,10235,420,Riyadh,2,17,24.7058823529412,1
M,62,3000,173,Jeddeh,0,5,34.6,1
M,65,24015,61,Madinah Almonwarah,0,2,30.5,1
M,75,49200,210,Dhahran,2,3,70,1
M,52,20236.25,324,Hail,3,5,64.8,1
M,64,3000,326,Khobar,3,6,54.3333333333333,1
M,62,24962,91,Riyadh,0,1,91,1
M,73,12500,312,Jeddeh,3,6,52,1
M,61,9400,300,Alahsa,3,4,75,1
M,69,1500,60,Jeddeh,0,1,60,1
M,61,21243.75,435,Sayhat,2,2,217.5,1
M,59,12400,301,Khobar,2,4,75.25,1
M,59,14831.25,462,Riyadh,3,5,92.4,1
M,63,15765,306,Aljoubail,3,2,153,1
M,52,11430,326,Buraydah,6,4,81.5,1
M,90,13696.67,226,Dammam,1,1,226,1
M,64,3000,76,Dammam,0,3,25.3333333333333,1
M,89,13008.33,210,RasTanorh,2,1,210,1
M,66,8580,360,Alhayet,3,4,90,1
M,62,24575.84,407,Khobar,3,3,135.666666666667,1
M,64,30375,502,Safwa,3,4,125.5,1
M,61,21731.25,424,Aljoubail,3,2,212,1
M,79,5050,283,Safwa,1,3,94.3333333333333,1
M,72,11281.67,321,Alqateef,2,5,64.2,1
M,67,25025,318,Alahsa,2,4,79.5,1
M,68,18050.09,424,Alahsa,5,2,212,1
M,70,11775.6,370,Alahsa,2,5,74,1
M,60,21643.41,397,Alahsa,3,2,198.5,1
M,60,21070,343,Alahsa,3,2,171.5,1
M,61,19727,337,Dammam,3,8,42.125,1
M,62,19862.5,464,Alahsa,3,2,232,1
M,56,18862.5,411,Alahsa,1,2,205.5,1
M,52,7600,421,Tabuk,3,2,210.5,1
M,65,9531.25,341,Makkah,3,4,85.25,1
M,63,47362.5,487,Dhahran,3,6,81.1666666666667,1
M,61,4550,259,Jeddeh,3,5,51.8,1
M,50,29850,309,Aljoubail,3,3,103,1
M,55,34900,315,Riyadh,3,4,78.75,1
M,91,11740,213,Alahsa,0,1,213,1
M,69,19028.33,318,Alahsa,3,2,159,1
M,69,24890.83,328,Alahsa,2,2,164,1
M,62,3455,71,Riyadh,0,3,23.6666666666667,1
M,78,23090,307,Dammam,1,1,307,1
M,67,3600,74,Dammam,0,6,12.3333333333333,1
M,58,19510,455,Jeddeh,2,3,151.666666666667,1
M,62,5991.25,61,Jeddeh,0,2,30.5,1
M,55,19181,363,Aljoubail,6,5,72.6,1
M,46,45000,300,Dammam,5,7,42.8571428571429,1
M,58,17196.25,423,Sayhat,4,5,84.6,1
M,62,26012.5,455,Alahsa,3,2,227.5,1
M,70,13731.25,420,RasTanorh,3,3,140,1
M,61,3000,118,Jeddeh,0,4,29.5,1
M,59,1500,81,Riyadh,0,5,16.2,1
M,63,4741,76,Makkah,0,2,38,1
M,76,26795,306,Alqateef,1,1,306,1
M,66,22860.83,383,Sayhat,3,3,127.666666666667,1
M,67,8580,480,Tarot,1,6,80,1
M,69,30833.75,309,Jeddeh,3,4,77.25,1
M,85,31890,284,Dhahran,0,7,40.5714285714286,1
M,79,5365,253,Albahah,1,2,126.5,1
M,61,20293.75,409,Alqateef,3,2,204.5,1
M,70,16479.17,399,Sayhat,2,3,133,1
M,56,11598.75,342,Dammam,3,4,85.5,1
M,54,17500,329,Jeddeh,3,6,54.8333333333333,1
M,66,21284.08,384,Sayhat,3,3,128,1
M,65,3000,107,Riyadh,0,6,17.8333333333333,1
M,71,35343,360,Dammam,3,2,180,1
M,57,25920,463,Khobar,2,4,115.75,1
M,70,45000,412,Dhahran,2,4,103,1
M,61,22675,420,Jeddeh,3,3,140,1
M,76,5375,259,Moqaq,2,3,86.3333333333333,1
M,73,4625,170,Beshah,0,1,170,1
M,62,3737.5,301,Madinah Almonwarah,3,10,30.1,1
M,63,9492,335,Hail,3,7,47.8571428571429,1
M,60,22910,426,Yanba a Alsyenayeah,3,4,106.5,1
M,67,19412.5,413,Alqateef,2,3,137.666666666667,1
M,58,10453.33,392,Sayhat,1,3,130.666666666667,1
M,35,3125,108,Makkah,0,4,27,1
M,64,25628.16,411,Khobar,2,4,102.75,1
M,60,15825,453,Khobar,3,6,75.5,1
M,64,45000,266,Khobar,2,2,133,1
M,65,3630,131,Tabuk,0,1,131,1
M,91,11905.83,213,Dhahran,3,1,213,1
M,75,17356.25,275,Alahsa,3,6,45.8333333333333,1
M,64,3000,416,Alahsa,2,7,59.4285714285714,1
M,103,4176.27,75,Anak,1,1,75,1
M,78,7650,345,Alahsa,2,4,86.25,1
M,70,11861,329,Aljoubail,2,8,41.125,1
M,66,17754.17,347,Khobar,3,2,173.5,1
M,96,11520.83,155,Abqeeq,1,1,155,1
M,69,14956.67,335,Alqateef,2,4,83.75,1
M,71,3100,337,Dammam,2,10,33.7,1
M,65,17430,296,Alahsa,2,8,37,1
M,71,23660,391,Alqateef,1,2,195.5,1
M,76,18905.83,317,Alqateef,1,2,158.5,1
M,52,21999.51,360,Thahran Aljanob,4,5,72,1
M,79,11106.67,315,Safwa,2,3,105,1
M,63,24425.01,415,Alqateef,3,5,83,1
M,63,13435,477,Dammam,3,9,53,1
M,76,3930,352,Dhahran,1,8,44,1
M,92,29900,202,Dhahran,1,1,202,1
M,59,36312.5,450,Sayhat,3,2,225,1
M,80,21355,307,Jeddeh,3,1,307,1
M,63,20171.67,338,Safwa,3,3,112.666666666667,1
M,53,15941.59,308,Alahsa,3,5,61.6,1
M,61,19862.5,428,Alqateef,3,6,71.3333333333333,1
M,76,16508,317,Althuqbah,2,2,158.5,1
M,61,2100,142,Madinah Almonwarah,0,1,142,1
M,65,35800,455,Sayhat,3,6,75.8333333333333,1
M,104,4000,60,Dammam,0,2,30,1
M,88,11188.33,212,Althuqbah,2,1,212,1
M,74,10432.73,343,Sayhat,3,7,49,1
F,65,3000,74,Jeddeh,0,3,24.6666666666667,1
M,78,9250,230,Jeddeh,3,1,230,1
M,59,7845,464,Riyadh,3,2,232,1
M,48,12650,300,Buraydah,2,3,100,1
M,100,12137.5,146,Alqateef,3,1,146,1
M,53,29118.75,351,Dammam,3,9,39,1
M,64,3000,64,Dammam,0,12,5.33333333333333,1
F,59,26489,373,Riyadh,0,4,93.25,1
M,64,5000,391,Khobar,3,9,43.4444444444444,1
M,58,29142.26,332,Dammam,3,7,47.4285714285714,1
M,74,16035.83,407,Dammam,2,4,101.75,1
M,67,15130.17,305,Khobar,2,8,38.125,1
M,48,9400,300,Aljoubail,5,6,50,1
M,65,17948,352,Yanba a,3,16,22,1
M,62,21000,458,Alqateef,2,3,152.666666666667,1
M,51,8580,345,Hafer Albaten,3,4,86.25,1
M,62,7500,346,Aljoubail,3,6,57.6666666666667,1
M,66,32749.26,433,Aljoubail,3,6,72.1666666666667,1
M,78,10301.67,323,Safwa,1,4,80.75,1
M,62,22188.84,390,Alqateef,3,2,195,1
M,62,2500,242,Riyadh,3,6,40.3333333333333,1
M,68,11109.6,412,Aljoubail,3,15,27.4666666666667,1
M,73,21676.67,415,Alqateef,1,3,138.333333333333,1
M,62,2200,115,Riyadh,0,18,6.38888888888889,1
M,50,22252.5,302,Khobar,3,8,37.75,1
M,65,14219,300,Hail,3,6,50,1
M,67,15341.25,401,Anak,1,10,40.1,1
M,63,11028.75,300,Madinah Almonwarah,3,6,50,1
M,68,5069.16,374,Makkah,3,6,62.3333333333333,1
M,62,3000,66,Makkah,0,2,33,1
M,66,1650,300,Hail,3,8,37.5,1
M,64,8580,481,Tarot,2,4,120.25,1
M,61,5375,301,Abu Areesh,3,3,100.333333333333,1
M,53,25104.6,337,Dammam,3,5,67.4,1
M,61,18106.67,353,Alahsa,3,3,117.666666666667,1
M,66,11165,327,Alahsa,3,4,81.75,1
M,63,13200.83,328,Alahsa,1,2,164,1
M,51,19375,312,Alahsa,3,4,78,1
M,61,20456,466,Alahsa,8,2,233,1
M,48,19600,300,Dammam,3,9,33.3333333333333,1
M,90,8143.33,225,Om Alsahek,3,1,225,1
M,61,33862.5,331,Dammam,3,4,82.75,1
M,76,8819,169,Hail,3,7,24.1428571428571,1
M,81,31910,306,Khobar,2,1,306,1
M,63,13828.75,447,Alqateef,2,10,44.7,1
M,53,3655,221,Buraydah,0,5,44.2,1
M,67,22853.33,338,Dammam,3,5,67.6,1
M,46,22848,312,Aljoubail,3,3,104,1
M,66,10000,393,Dammam,3,8,49.125,1
M,53,13000,308,Riyadh,3,5,61.6,1
M,59,15268.75,445,Alqateef,5,2,222.5,1
M,64,11527.5,409,Jeddeh,2,7,58.4285714285714,1
M,64,4175,129,Tabuk,0,2,64.5,1
M,71,13125,332,Aljoubail,3,4,83,1
M,78,20183.33,354,Alahsa,2,2,177,1
M,61,45000,429,Riyadh,3,3,143,1
M,65,8580,514,Riyadh,3,4,128.5,1
M,53,14691.64,321,Riyadh,3,5,64.2,1
M,57,3000,66,Jeddeh,0,4,16.5,1
M,51,25791.25,325,Riyadh,3,5,65,1
M,56,18900,363,Alqateef,3,4,90.75,1
M,54,10153.75,317,Jeddeh,3,6,52.8333333333333,1
M,66,19833.33,379,Khobar,3,5,75.8,1
M,62,2070,132,Riyadh,0,3,44,1
M,52,19500,311,Aljoubail,4,3,103.666666666667,1
M,70,3000,437,Tarot,3,3,145.666666666667,1
M,47,16234,310,Aljoubail,6,2,155,1
F,58,6945,245,Jeddeh,0,2,122.5,1
M,54,19714.76,322,Riyadh,5,5,64.4,1
M,63,9375,379,Riyadh,3,5,75.8,1
M,72,20183.33,377,Alqateef,3,4,94.25,1
M,83,3234,292,Tabuk,3,3,97.3333333333333,1
M,62,7713.8,450,Jeddeh,1,6,75,1
M,62,45000,481,Riyadh,3,7,68.7142857142857,1
M,73,41259.17,431,Alahsa,0,2,215.5,1
F,59,3000,166,Jeddeh,0,2,83,1
F,61,11200,156,Makkah,0,1,156,1
M,66,10965,399,Aljoubail,2,11,36.2727272727273,1
M,62,6590,159,Jeddeh,1,4,39.75,1
M,61,15789.75,84,Alahsa,1,3,28,1
M,71,16864.17,345,Dhahran,3,10,34.5,1
M,75,5130,346,Aljoubail,3,6,57.6666666666667,1
M,66,20988.33,377,Dhahran,3,6,62.8333333333333,1
M,63,24481.25,415,Safwa,2,3,138.333333333333,1
M,76,7182,305,Jeddeh,3,3,101.666666666667,1
M,54,20287.3,336,Hail,5,6,56,1
M,37,8041.67,190,Dammam,0,4,47.5,1
M,65,24986.5,424,Safwa,2,2,212,1
M,71,19868.33,371,Safwa,2,2,185.5,1
M,70,31250,310,RasTanorh,3,7,44.2857142857143,1
M,75,1966.25,60,Alahsa,2,5,12,1
M,61,2100,113,Alahsa,0,1,113,1
M,57,26012.5,431,Alahsa,3,2,215.5,1
M,46,28934,315,Aljoubail,4,2,157.5,1
M,71,4175,411,Alahsa,3,6,68.5,1
M,65,22675,461,Khobar,3,6,76.8333333333333,1
F,57,3000,157,Alahsa,0,2,78.5,1
M,62,17068.76,430,Alahsa,2,2,215,1
M,95,7005.83,157,Althuqbah,1,1,157,1
M,68,9513,171,Khobar,3,3,57,1
M,62,25975,429,Dammam,3,2,214.5,1
M,65,10691.33,302,Aljoubail,3,9,33.5555555555556,1
M,73,3500,354,Dammam,3,5,70.8,1
M,63,3000,74,Buraydah,0,3,24.6666666666667,1
M,64,650,3,Riyadh,0,1,3,1
M,61,23333.33,107,Riyadh,0,2,53.5,1
M,71,5435,400,Alqateef,1,4,100,1
M,76,11190.83,380,Alahsa,3,5,76,1
M,65,20625.83,316,Alahsa,3,2,158,1
M,48,32753,318,Aljoubail,5,3,106,1
M,67,3000,347,Alqateef,3,5,69.4,1
M,66,8200,194,Aljoubail,3,3,64.6666666666667,1
M,73,3150,60,Buraydah,0,2,30,1
M,70,7200,121,Alqateef,0,3,40.3333333333333,1
M,93,14904.16,158,Alqateef,1,1,158,1
M,64,3000,62,Riyadh,0,7,8.85714285714286,1
M,65,15179,402,Alqateef,3,4,100.5,1
M,46,16875,300,Jeddeh,3,9,33.3333333333333,1
M,68,3000,220,Tabuk,0,8,27.5,1
M,67,4210,61,Dhahran,0,6,10.1666666666667,1
M,63,1800,82,Yanba a Alsyenayeah,0,3,27.3333333333333,1
M,61,7414.54,497,Alahsa,3,5,99.4,1
M,67,7310,122,Aljoubail,0,3,40.6666666666667,1
M,61,45000,115,Khobar,0,3,38.3333333333333,1
M,64,1180,69,Tabuk,0,6,11.5,1
M,62,3500,219,Jeddeh,0,7,31.2857142857143,1
M,66,3480.89,352,Alahsa,3,6,58.6666666666667,1
M,63,13696.67,294,Alqateef,2,3,98,1
M,61,3000,79,Jeddeh,0,2,39.5,1
M,62,3050,95,Makkah,0,3,31.6666666666667,1
M,61,3000,66,Riyadh,0,3,22,1
M,59,36312.5,477,Alqateef,2,6,79.5,1
M,64,11453.75,482,Anak,4,10,48.2,1
M,63,3000,101,Dammam,0,4,25.25,1
M,62,17839,144,Dammam,5,4,36,1
M,64,28069.92,435,Makkah,0,8,54.375,1
M,65,21157.5,368,Alahsa,3,4,92,1
F,62,2010,104,Riyadh,0,1,104,1
M,62,36312.5,433,Alahsa,1,2,216.5,1
M,61,15510,445,Alahsa,4,5,89,1
M,63,8000,214,Alahsa,3,5,42.8,1
M,63,49500,429,Dammam,3,7,61.2857142857143,1
M,53,52052.5,361,Alahsa,3,4,90.25,1
M,63,3000,116,Makkah,0,5,23.2,1
M,60,20423.68,395,Taif,4,11,35.9090909090909,1
M,62,3750,104,Riyadh,0,4,26,1
M,71,4500,384,Aljmom,2,6,64,1
F,63,4000,127,Alkra,0,1,127,1
M,62,36312.5,482,Alqateef,3,3,160.666666666667,1
M,75,6295,422,Dammam,3,3,140.666666666667,1
M,90,10960.83,225,Alqateef,1,1,225,1
M,87,22050,261,Sayhat,1,1,261,1
M,51,25531.15,325,Buraydah,7,5,65,1
M,65,16544,137,Alqateef,3,4,34.25,1
M,76,4625,191,Alahsa,0,5,38.2,1
M,70,15528.33,305,Alahsa,3,4,76.25,1
M,64,13518.75,407,Alqateef,2,2,203.5,1
M,70,12870,311,Aljoubail,3,2,155.5,1
M,75,9146.67,259,Alqateef,1,2,129.5,1
M,66,31962.5,471,Alqateef,2,6,78.5,1
M,48,12491.21,314,Jeddeh,3,9,34.8888888888889,1
M,68,45000,334,Dammam,1,8,41.75,1
M,60,19862.5,409,Alahsa,3,2,204.5,1
M,77,7155,272,Dammam,3,2,136,1
M,72,12823,132,Jeddeh,0,1,132,1
M,68,26063.33,397,Khobar,2,2,198.5,1
M,67,23334,485,Riyadh,1,3,161.666666666667,1
M,67,16765,374,Tarot,2,3,124.666666666667,1
M,63,24156.25,445,Alahsa,2,2,222.5,1
M,54,45000,303,Riyadh,3,6,50.5,1
M,55,8580,325,Dammam,6,3,108.333333333333,1
M,61,3000,433,Dhahran,3,3,144.333333333333,1
M,76,22415,317,Jeddeh,2,2,158.5,1
M,57,54925,429,Aljoubail,4,2,214.5,1
M,66,3575,68,Riyadh,0,2,34,1
M,96,10441.66,155,Dhahran,3,1,155,1
M,62,4391.75,163,Althuqbah,0,3,54.3333333333333,1
M,62,450,2,Dhahran,0,2,1,1
M,85,20000,167,Arar,1,2,83.5,1
M,62,34204.68,371,RasTanorh,3,3,123.666666666667,1
M,68,38750,286,Hail,3,13,22,1
M,50,9575,307,Jeddeh,3,6,51.1666666666667,1
M,53,23276,336,Aljoubail,3,4,84,1
M,58,8580,381,Makkah,3,3,127,1
M,57,35550,318,Alahsa,4,2,159,1
M,57,13693,432,Dammam,4,6,72,1
M,84,6600,340,Khobar,1,4,85,1
M,62,11077.5,156,Khobar,0,1,156,1
M,63,24137.5,434,Alahsa,3,2,217,1
M,68,2250,77,Dammam,0,11,7,1
M,78,4979.44,223,Alahsa,1,1,223,1
M,77,22948.33,375,Dammam,1,3,125,1
M,64,14891,309,Aljoubail,3,7,44.1428571428571,1
M,56,29069.69,339,Dammam,3,6,56.5,1
M,53,18486,312,Aljoubail,4,3,104,1
M,59,45000,409,Dammam,3,5,81.8,1
M,62,27930,306,Dammam,2,10,30.6,1
M,63,6674,406,Alqateef,2,9,45.1111111111111,1
M,57,29943.75,454,Alahsa,3,3,151.333333333333,1
M,51,9400,301,Khobar,1,4,75.25,1
M,70,4667,479,Dammam,2,7,68.4285714285714,1
M,64,6695,139,Sayhat,0,1,139,1
M,61,9422.4,329,Bahrah,1,6,54.8333333333333,1
M,81,1200,179,Taif,3,7,25.5714285714286,1
M,62,2550,202,Buraydah,0,6,33.6666666666667,1
M,64,8580,469,Riyadh,2,3,156.333333333333,1
M,55,22909.04,325,Onaizah,0,3,108.333333333333,1
M,65,43206.25,447,Alqateef,3,4,111.75,1
M,65,2220,122,Alslaimi,0,6,20.3333333333333,1
M,66,3993,61,Dammam,0,12,5.08333333333333,1
M,58,20888,322,Yanba a Alsyenayeah,3,3,107.333333333333,1
M,87,1500,350,Althuqbah,2,8,43.75,1
M,49,22112.5,302,Yanba a,5,4,75.5,1
M,62,22451.91,409,Safwa,2,2,204.5,1
M,63,13600,300,Sayhat,2,4,75,1
M,59,19862.5,459,Tabuk,6,4,114.75,1
M,71,16648.33,297,Safwa,3,1,297,1
M,61,4000,115,Hail,0,4,28.75,1
M,52,3300,300,Jeddeh,3,5,60,1
M,62,23794.17,387,Alqateef,2,6,64.5,1
M,67,31887.5,440,Alahsa,2,4,110,1
M,77,5110,318,Makkah,3,3,106,1
M,65,23311.75,389,Tarot,3,7,55.5714285714286,1
M,65,482,1,Dhahran,0,1,1,1
M,67,40962.5,446,Dhahran,3,3,148.666666666667,1
M,68,21221.67,392,Alqateef,3,3,130.666666666667,1
M,65,7086,421,Jeddeh,3,4,105.25,1
M,68,16648.33,298,Khobar,2,2,149,1
M,90,8030,225,Alahsa,3,1,225,1
M,71,1527,127,Domat Aljandal,4,6,21.1666666666667,1
M,64,29282,300,Safwa,3,4,75,1
F,63,5000,168,Jeddeh,0,2,84,1
M,63,3000,151,Jazan,0,1,151,1
F,61,3000,93,Hail,0,2,46.5,1
M,76,15464.17,304,Safwa,2,2,152,1
M,58,17313,418,Aljoubail,3,4,104.5,1
M,62,29925,504,Alahsa,3,3,168,1
M,65,3000,325,Jeddeh,5,8,40.625,1
M,68,22675,429,Tarot,1,2,214.5,1
M,82,781.27,319,Khobar,1,2,159.5,1
M,62,21693.75,446,Dhahran,2,2,223,1
M,57,12552.86,331,Dammam,5,14,23.6428571428571,1
M,62,18608.34,378,Alqateef,3,2,189,1
M,72,33646.67,377,Dammam,2,2,188.5,1
M,90,7291.66,0,Taif,1,2,0,1
M,71,3000,403,Tarot,2,8,50.375,1
M,86,21199.83,272,Alqateef,1,1,272,1
M,53,19771,312,Aljoubail,4,3,104,1
M,82,7700,319,Khobar,3,5,63.8,1
M,69,20218.33,132,Khobar,2,3,44,1
M,66,17750,435,Alahsa,3,2,217.5,1
M,77,21242,355,Anak,2,3,118.333333333333,1
M,79,24012.5,343,Khobar,2,4,85.75,1
M,62,30562.59,383,Sayhat,3,2,191.5,1
M,49,22085,302,Aljoubail,4,4,75.5,1
M,54,45000,317,Jeddeh,3,5,63.4,1
M,66,6105,385,Anak,4,6,64.1666666666667,1
M,74,13702.5,300,Tarot,3,6,50,1
M,70,1700,151,Dammam,0,10,15.1,1
M,67,8379,425,Riyadh,3,5,85,1
M,59,18583.75,426,Jeddeh,3,5,85.2,1
M,68,7845,522,Makkah,3,8,65.25,1
M,63,30556.16,412,Dammam,3,2,206,1
M,72,14226.91,378,Safwa,3,6,63,1
M,61,19531.25,421,Alahsa,3,2,210.5,1
M,62,19862.5,447,Dhahran,3,3,149,1
M,63,18777.5,319,Khobar,3,3,106.333333333333,1
M,76,6625,336,Khobar,3,11,30.5454545454545,1
M,64,10253,438,Alahsa,3,6,73,1
M,51,12555,311,Riyadh,3,6,51.8333333333333,1
M,63,21848.75,431,Safwa,2,2,215.5,1
M,68,5891,434,Jeddeh,2,3,144.666666666667,1
M,55,30961.25,315,Safwa,3,8,39.375,1
M,72,36563.33,367,Khobar,3,4,91.75,1
M,61,10383,151,Alzelfi,3,4,37.75,1
M,51,21600,300,Aljoubail,4,4,75,1
M,64,6500,300,Khobar,2,10,30,1
M,57,5176.67,304,Jeddeh,0,6,50.6666666666667,1
M,90,3000,225,Dammam,3,2,112.5,1
M,61,16300,300,Jeddeh,5,7,42.8571428571429,1
M,64,2343,350,Khobar,3,6,58.3333333333333,1
M,62,45000,396,Makkah,0,3,132,1
M,72,14507.5,320,Alahsa,1,4,80,1
M,72,7175,190,Alahsa,3,4,47.5,1
M,57,15167.5,440,Alahsa,6,5,88,1
M,72,6875,366,Anak,1,3,122,1
M,63,25775.75,411,Alahsa,2,2,205.5,1
M,58,58425,404,Riyadh,3,3,134.666666666667,1
M,69,45000,458,Dhahran,1,2,229,1
M,61,2000,114,Khobar,0,1,114,1
M,71,45000,404,Khobar,2,2,202,1
M,86,3431,3,Hafer Albaten,0,4,0.75,1
M,66,15528.33,354,Aljoubail,3,2,177,1
M,68,11908.82,264,Jeddeh,2,4,66,1
M,59,13855,431,Aljoubail,3,4,107.75,1
M,56,18150,329,Riyadh,3,2,164.5,1
M,81,4785,72,Alahsa,0,1,72,1
M,74,2000,241,Jeddeh,0,8,30.125,1
M,70,8580,276,Hail,3,4,69,1
M,63,31955,519,Khobar,4,6,86.5,1
M,79,3930,338,Makkah,2,2,169,1
M,85,19640.83,284,Dhahran,2,1,284,1
M,80,22207.5,303,Dhahran,3,4,75.75,1
M,61,6865,235,Albahah,3,3,78.3333333333333,1
M,67,21168.75,459,Dhahran,3,2,229.5,1
M,63,41650,455,Safwa,2,2,227.5,1
M,66,24914.18,394,Dhahran,3,4,98.5,1
M,68,24879.17,363,Alqateef,3,3,121,1
M,66,54450,515,Dhahran,2,7,73.5714285714286,1
M,88,18993.33,261,Dhahran,2,1,261,1
M,72,11491.25,315,Alqateef,3,5,63,1
M,67,11465,360,Alqateef,3,4,90,1
M,61,21846,260,Riyadh,2,6,43.3333333333333,1
M,55,8600,300,Madinah Almonwarah,3,4,75,1
M,68,7200,300,Abha,0,6,50,1
M,66,35125,412,Alqateef,2,4,103,1
M,81,7470,99,Dammam,0,1,99,1
M,57,3000,303,Alqateef,0,6,50.5,1
M,63,45000,300,Tarot,3,4,75,1
M,74,6885,299,Aljoubail,1,4,74.75,1
M,57,41650,424,Dhahran,3,4,106,1
M,86,17645.83,272,Alahsa,1,1,272,1
M,62,15499.17,372,RasTanorh,3,3,124,1
M,64,13959.17,322,Riyadh,2,4,80.5,1
M,75,38723,358,Khobar,3,7,51.1428571428572,1
M,68,16648.33,317,Dhahran,1,1,317,1
M,63,3000,68,Tabuk,0,2,34,1
M,58,17600,300,Dammam,3,4,75,1
M,50,6000,318,Alahsa,1,6,53,1
M,61,45000,437,Alahsa,3,3,145.666666666667,1
M,61,930,3,Dhahran,0,1,3,1
M,81,6375,275,Dhahran,0,4,68.75,1
F,61,4125,117,Abha,0,2,58.5,1
M,65,15725,159,Jeddeh,2,2,79.5,1
M,63,5580,358,Makkah,1,7,51.1428571428572,1
M,62,18845,417,Alqateef,3,6,69.5,1
M,61,28881,447,Yanba a Alsyenayeah,3,6,74.5,1
M,67,5000,100,Aljoubail,0,6,16.6666666666667,1
M,67,22050,372,Alqateef,3,5,74.4,1
M,73,18048,245,Aljoubail,3,3,81.6666666666667,1
M,52,45000,313,Dammam,4,5,62.6,1
M,62,30262.5,446,Dhahran,3,4,111.5,1
M,62,8607.5,297,Riyadh,3,6,49.5,1
M,65,34865.83,394,Dhahran,3,4,98.5,1
M,85,3270,348,Alahsa,3,5,69.6,1
M,69,3000,74,Khobar,0,3,24.6666666666667,1
M,61,44770,301,Safwa,3,3,100.333333333333,1
M,59,27672.17,455,Dammam,3,4,113.75,1
M,62,345,9,Riyadh,0,1,9,1
F,58,3300,137,Khamais Moshait,0,3,45.6666666666667,1
M,72,9680,421,Khobar,3,6,70.1666666666667,1
M,47,19600,300,Alahsa,4,5,60,1
M,72,3000,61,Makkah,0,2,30.5,1
M,60,9035.83,225,Alahsa,0,1,225,1
M,63,33987.5,438,Alahsa,3,2,219,1
M,69,13600,271,Riyadh,4,8,33.875,1
M,70,27275,454,Dhahran,3,2,227,1
M,55,16260.15,349,Madinah Almonwarah,6,5,69.8,1
M,81,9665.83,254,Alahsa,3,4,63.5,1
M,60,19862.5,412,Dammam,2,2,206,1
M,66,16380,387,Khobar,1,4,96.75,1
M,74,34960,307,Safwa,1,1,307,1
M,62,27312.51,408,Dammam,3,2,204,1
M,70,8945,391,Alahsa,3,5,78.2,1
M,56,20574,399,Aljoubail,7,6,66.5,1
M,72,17830,364,Dammam,3,5,72.8,1
M,64,34675,449,Dhahran,3,4,112.25,1
M,85,9250,262,Dammam,0,1,262,1
M,57,13623.75,454,Jeddeh,4,6,75.6666666666667,1
M,64,20445,171,Khobar,0,1,171,1
M,69,16496.67,367,Sayhat,2,4,91.75,1
M,62,27168.75,435,Dammam,1,2,217.5,1
M,70,4175,143,Abha,0,2,71.5,1
M,60,11300,291,Dhahran,3,2,145.5,1
M,71,14630,318,Safwa,2,1,318,1
M,82,14338.33,311,Safwa,3,3,103.666666666667,1
M,61,41650,424,Alahsa,3,2,212,1
M,87,14840,261,Dhahran,0,1,261,1
M,51,28800,300,Alahsa,4,4,75,1
